wine,price,score,bought
Red,High,High,Yes
white,High,High,No
white,Low,Low,Yes
white,High,High,No
white,High,Low,No
Red,High,High,No
Red,Low,Low,No
Red,High,Low,Yes
Red,Low,Low,No
white,Low,Low,No
white,Low,Low,Yes
white,High,High,Yes
white,High,Low,Yes
white,High,Low,No
Red,High,High,No
white,High,Low,No
white,High,Low,Yes
Red,Low,Low,Yes
white,High,High,Yes
white,Low,High,No
Red,Low,Low,Yes
white,High,Low,No
white,High,Low,No
Red,Low,Low,No
Red,High,Low,Yes
Red,High,High,Yes
Red,Low,Low,Yes
white,Low,High,No
white,Low,High,Yes
white,High,High,Yes
Red,High,Low,No
white,Low,High,Yes
Red,Low,Low,Yes
Red,Low,Low,Yes
Red,High,Low,No
white,Low,Low,No
white,High,High,No
Red,High,Low,No
white,High,Low,Yes
Red,High,Low,No
Red,High,Low,Yes
white,Low,Low,No
Red,High,Low,No
white,High,High,No
white,Low,Low,No
Red,High,Low,Yes
Red,High,High,No
white,High,Low,No
white,High,Low,Yes
Red,Low,High,Yes
Red,High,Low,No
Red,Low,Low,No
Red,Low,Low,Yes
white,High,Low,No
white,High,High,Yes
Red,Low,High,Yes
white,High,Low,No
white,Low,High,Yes
white,Low,Low,Yes
white,Low,High,Yes
Red,High,High,No
Red,High,Low,Yes
white,Low,Low,No
white,High,Low,No
Red,Low,High,Yes
Red,High,High,Yes
Red,Low,High,No
Red,High,Low,No
white,High,Low,No
Red,High,High,Yes
Red,Low,High,Yes
Red,High,High,No
white,Low,High,Yes
Red,High,High,Yes
Red,Low,High,No
Red,Low,Low,No
white,High,High,Yes
white,High,High,No
Red,High,Low,No
Red,Low,High,No
white,Low,High,Yes
white,Low,Low,No
white,Low,High,Yes
white,Low,High,Yes
white,Low,Low,No
white,Low,Low,No
Red,Low,High,Yes
white,High,Low,No
Red,High,Low,Yes
white,High,Low,No
Red,High,Low,Yes
Red,Low,Low,Yes
white,High,High,Yes
Red,High,Low,No
Red,Low,Low,Yes
white,Low,High,No
white,Low,Low,No
Red,High,Low,No
Red,High,High,Yes
Red,Low,High,Yes
