iter	Passed	Remaining
0	239	71484
1	320	47803
2	400	39626
3	483	35796
4	576	34033
5	657	32233
6	732	30671
7	811	29619
8	877	28358
9	955	27712
10	1060	27860
11	1204	28907
12	1307	28868
13	1394	28490
14	1478	28099
15	1564	27770
16	1642	27350
17	1741	27285
18	1822	26960
19	1899	26597
20	1978	26291
21	2064	26082
22	2149	25885
23	2230	25652
24	2311	25427
25	2391	25200
26	2464	24919
27	2550	24772
28	2622	24509
29	2703	24332
30	2785	24173
31	2866	24004
32	2951	23884
33	3035	23750
34	3107	23529
35	3191	23401
36	3291	23397
37	3372	23251
38	3456	23134
39	3531	22956
40	3614	22835
41	3690	22673
42	3771	22544
43	3859	22454
44	3940	22331
45	4023	22215
46	4099	22068
47	4180	21946
48	4260	21824
49	4336	21684
50	4408	21523
51	4499	21457
52	4584	21367
53	4661	21233
54	4746	21141
55	4832	21056
56	4870	20763
57	4958	20688
58	5048	20621
59	5133	20532
60	5209	20409
61	5288	20299
62	5370	20202
63	5455	20116
64	5538	20022
65	5612	19898
66	5687	19778
67	5762	19659
68	5843	19564
69	5882	19328
70	5959	19220
71	6032	19102
72	6118	19025
73	6199	18933
74	6267	18802
75	6347	18708
76	6426	18611
77	6506	18518
78	6534	18280
79	6616	18194
80	6701	18119
81	6781	18029
82	6857	17928
83	6932	17827
84	7005	17720
85	7089	17641
86	7116	17424
87	7191	17325
88	7271	17239
89	7310	17057
90	7381	16952
91	7462	16872
92	7489	16669
93	7566	16582
94	7647	16501
95	7726	16418
96	7802	16328
97	7877	16238
98	7952	16146
99	8013	16027
100	8039	15840
101	8115	15753
102	8192	15669
103	8223	15497
104	8299	15412
105	8374	15326
106	8457	15255
107	8486	15087
108	8560	15000
109	8622	14892
110	8698	14810
111	8778	14735
112	8863	14667
113	8942	14590
114	9021	14512
115	9096	14428
116	9170	14343
117	9249	14265
118	9288	14127
119	9361	14042
120	9435	13958
121	9473	13822
122	9552	13746
123	9627	13665
124	9655	13517
125	9732	13440
126	9816	13372
127	9897	13299
128	10028	13293
129	10088	13192
130	10196	13154
131	10282	13086
132	10340	12983
133	10421	12910
134	10473	12801
135	10562	12736
136	10665	12689
137	10780	12654
138	10840	12556
139	10932	12494
140	11025	12432
141	11142	12397
142	11226	12325
143	11309	12252
144	11398	12184
145	11491	12121
146	11593	12066
147	11676	11992
148	11761	11919
149	11817	11817
150	11906	11748
151	11978	11662
152	12065	11592
153	12154	11522
154	12213	11425
155	12300	11353
156	12385	11280
157	12469	11206
158	12562	11140
159	12593	11018
160	12678	10945
161	12771	10879
162	12815	10770
163	12906	10702
164	12989	10627
165	13073	10553
166	13157	10478
167	13246	10407
168	13336	10337
169	13367	10221
170	13453	10149
171	13543	10079
172	13642	10014
173	13736	9947
174	13826	9876
175	13911	9801
176	13997	9726
177	14087	9655
178	14188	9591
179	14310	9540
180	14400	9467
181	14486	9392
182	14575	9318
183	14690	9261
184	14824	9215
185	14948	9162
186	15049	9094
187	15227	9071
188	15350	9015
189	15490	8968
190	15681	8949
191	15849	8915
192	16027	8885
193	16133	8815
194	16238	8743
195	16331	8665
196	16435	8593
197	16530	8515
198	16631	8441
199	16735	8367
200	16836	8292
201	16930	8213
202	17058	8150
203	17174	8081
204	17281	8008
205	17386	7933
206	17497	7861
207	17592	7781
208	17693	7703
209	17792	7625
210	17891	7546
211	17993	7469
212	18092	7390
213	18183	7307
214	18268	7222
215	18350	7136
216	18431	7049
217	18536	6972
218	18625	6888
219	18717	6806
220	18806	6722
221	18893	6638
222	18978	6553
223	19084	6475
224	19186	6395
225	19269	6309
226	19353	6223
227	19437	6138
228	19519	6052
229	19604	5966
230	19690	5881
231	19800	5803
232	19892	5720
233	19982	5636
234	20070	5551
235	20163	5468
236	20256	5384
237	20345	5300
238	20438	5216
239	20527	5131
240	20614	5046
241	20702	4961
242	20806	4880
243	20897	4796
244	20989	4712
245	21082	4627
246	21169	4542
247	21258	4457
248	21344	4371
249	21441	4288
250	21540	4205
251	21626	4119
252	21715	4034
253	21804	3948
254	21891	3863
255	21973	3776
256	22057	3690
257	22147	3605
258	22237	3520
259	22323	3434
260	22405	3347
261	22490	3261
262	22575	3176
263	22607	3082
264	22705	2998
265	22794	2913
266	22879	2827
267	22993	2745
268	23081	2659
269	23183	2575
270	23277	2490
271	23363	2405
272	23455	2319
273	23556	2235
274	23642	2149
275	23729	2063
276	23820	1977
277	23909	1892
278	23997	1806
279	24091	1720
280	24178	1634
281	24282	1549
282	24374	1464
283	24490	1379
284	24585	1293
285	24691	1208
286	24801	1123
287	24899	1037
288	25003	951
289	25116	866
290	25216	779
291	25390	695
292	25512	609
293	25647	523
294	25762	436
295	25882	349
296	25984	262
297	26070	174
298	26154	87
299	26237	0
